Date;Taux_3M;Taux_2Y;Taux_10Y;CPI;Breakeven_5Y;Nonfarm_Payrolls;Ind_Production;UMich_Sentiment;Slope_10Y_3M;Slope_10Y_2Y;Real_Rate_10Y;Inflation_Delta_12M;VIX;NFCI;Stress_Financier
01/01/2014;;0.39;2.86;235.288;;137561.0;99.9899;81.2;;2.4699999999999998;-232.428;;;;
02/01/2014;0.07;;;;1.71;;;;;;;;14.229999542236328;;
03/01/2014;0.07;;;;1.69;;;;;;;;13.760000228881836;-0.80274;-0.6673
06/01/2014;0.05;;;;1.75;;;;;;;;13.550000190734863;;
07/01/2014;0.04;;;;1.83;;;;;;;;12.920000076293945;;
08/01/2014;0.05;;;;1.76;;;;;;;;12.869999885559082;;
09/01/2014;0.04;;;;1.83;;;;;;;;12.890000343322754;;
10/01/2014;0.05;;;;1.75;;;;;;;;12.140000343322754;-0.79821;-0.7387
13/01/2014;0.03;;;;1.71;;;;;;;;13.279999732971191;;
14/01/2014;0.04;;;;1.76;;;;;;;;12.279999732971191;;
15/01/2014;0.04;;;;1.72;;;;;;;;12.279999732971191;;
16/01/2014;0.04;;;;1.74;;;;;;;;12.529999732971191;;
17/01/2014;0.05;;;;1.72;;;;;;;;12.4399995803833;-0.79021;-0.7403
21/01/2014;0.04;;;;1.71;;;;;;;;12.869999885559082;;
22/01/2014;0.04;;;;1.79;;;;;;;;12.84000015258789;;
23/01/2014;0.04;;;;1.72;;;;;;;;13.770000457763672;;
24/01/2014;0.04;;;;1.68;;;;;;;;18.139999389648438;-0.78208;-0.6439
27/01/2014;0.05;;;;1.72;;;;;;;;17.420000076293945;;
28/01/2014;0.05;;;;1.71;;;;;;;;15.800000190734863;;
29/01/2014;0.04;;;;1.72;;;;;;;;17.350000381469727;;
30/01/2014;0.02;;;;1.76;;;;;;;;17.290000915527344;;
31/01/2014;0.02;;;;1.72;;;;;;;;18.40999984741211;-0.7769;-0.4471
03/02/2014;0.05;;;;1.7;;;;;;;;21.440000534057617;;
04/02/2014;0.06;;;;1.77;;;;;;;;19.110000610351562;;
05/02/2014;0.07;;;;1.78;;;;;;;;19.950000762939453;;
06/02/2014;0.07;;;;1.82;;;;;;;;17.229999542236328;;
07/02/2014;0.08;;;;1.77;;;;;;;;15.289999961853027;-0.77785;-0.4699
